n,peak_memory_kb,text1_size,text2_size
1,450560,890,625
n,peak_memory_kb,text1_size,text2_size
1,307200,890,801
n,peak_memory_kb,text1_size,text2_size
1,266240,890,605
n,peak_memory_kb,text1_size,text2_size
1,0,625,801
n,peak_memory_kb,text1_size,text2_size
1,0,625,605
n,peak_memory_kb,text1_size,text2_size
1,4096,801,605
n,peak_memory_kb,text1_size,text2_size
1,266240,625,890
n,peak_memory_kb,text1_size,text2_size
1,270336,801,890
n,peak_memory_kb,text1_size,text2_size
1,0,605,890
n,peak_memory_kb,text1_size,text2_size
1,0,801,625
n,peak_memory_kb,text1_size,text2_size
1,0,605,625
n,peak_memory_kb,text1_size,text2_size
1,8192,605,801
